/usr/sbin/mysqld, Version: 5.1.41-3ubuntu12.6-log ((Ubuntu)). started with:
Tcp port: 3306  Unix socket: /var/run/mysqld/mysqld.sock
Time                 Id Command    Argument
230914 15:01:35	    1 Connect	debian-sys-maint@localhost on 
		  146 Query	select @@version_comment limit 1
		  146 Query	select count(*) into @discard from `joomla`.`jos_polls`
		  146 Quit	
		  147 Connect	debian-sys-maint@localhost on 
		  147 Query	select @@version_comment limit 1
		  147 Query	select count(*) into @discard from `joomla`.`jos_sections`
		  147 Quit	
		  148 Connect	debian-sys-maint@localhost on 
		  148 Query	select @@version_comment limit 1
		  148 Query	select count(*) into @discard from `joomla`.`jos_session`
		  148 Quit	
		  149 Connect	debian-sys-maint@localhost on 
		  149 Query	select @@version_comment limit 1
		  149 Query	select count(*) into @discard from `joomla`.`jos_stats_agents`
		  149 Quit	
		  150 Connect	debian-sys-maint@localhost on 
		  150 Query	select @@version_comment limit 1
		  150 Query	select count(*) into @discard from `joomla`.`jos_templates_menu`
		  150 Quit	
		  151 Connect	debian-sys-maint@localhost on 
		  151 Query	select @@version_comment limit 1
		  151 Query	select count(*) into @discard from `joomla`.`jos_users`
		  151 Quit	
		  152 Connect	debian-sys-maint@localhost on 
		  152 Query	select @@version_comment limit 1
		  152 Query	select count(*) into @discard from `joomla`.`jos_vm_auth_group`
		  152 Quit	
		  153 Connect	debian-sys-maint@localhost on 
		  153 Query	select @@version_comment limit 1
		  153 Query	select count(*) into @discard from `joomla`.`jos_vm_auth_user_group`
		  153 Quit	
		  154 Connect	debian-sys-maint@localhost on 
		  154 Query	select @@version_comment limit 1
		  154 Query	select count(*) into @discard from `joomla`.`jos_vm_auth_user_vendor`
		  154 Quit	
		  155 Connect	debian-sys-maint@localhost on 
		  155 Query	select @@version_comment limit 1
		  155 Query	select count(*) into @discard from `joomla`.`jos_vm_cart`
		  155 Quit	
		  156 Connect	debian-sys-maint@localhost on 
		  156 Query	select @@version_comment limit 1
		  156 Query	select count(*) into @discard from `joomla`.`jos_vm_category`
		  156 Quit	
		  157 Connect	debian-sys-maint@localhost on 
		  157 Query	select @@version_comment limit 1
		  157 Query	select count(*) into @discard from `joomla`.`jos_vm_category_xref`
		  157 Quit	
		  158 Connect	debian-sys-maint@localhost on 
		  158 Query	select @@version_comment limit 1
		  158 Query	select count(*) into @discard from `joomla`.`jos_vm_country`
		  158 Quit	
		  159 Connect	debian-sys-maint@localhost on 
		  159 Query	select @@version_comment limit 1
		  159 Query	select count(*) into @discard from `joomla`.`jos_vm_coupons`
		  159 Quit	
		  160 Connect	debian-sys-maint@localhost on 
		  160 Query	select @@version_comment limit 1
		  160 Query	select count(*) into @discard from `joomla`.`jos_vm_creditcard`
		  160 Quit	
		  161 Connect	debian-sys-maint@localhost on 
